id;code;name;description;enabled;spid_level;attributes_url;consent_required;consent_url;check_consent_url;error_redirect_url;spid_schema_version;api_version;test_url
1;Holy See (Vatican City State) neural;solid state Steel Croatian Kuna;payment Internal feed;false;hacking Research;bus Checking Account;true;Total;Bike Quality-focused;AGP Corporate;Dynamic Generic;FTP reintermediate;Facilitator
2;Gorgeous;Jamaican Dollar;invoice;true;orange Zimbabwe Dollar framework;backing up;true;Cambridgeshire;Baht Solutions Diverse;IB;demand-driven Roads Tuna;open-source;Home
3;program Philippine Peso;Innovative Universal;payment;true;Computer program local area network;compress;true;Center synthesize;asymmetric invoice applications;Avon;Practical;HTTP magnetic Officer;leverage success
4;Shoes;EXE payment Lebanese Pound;one-to-one Fish;true;e-enable Wooden;Tasty indexing Chair;true;Avon Cross-group;killer multi-byte;strategy Colorado Senior;HTTP Incredible Frozen Shirt Personal Loan Account;Credit Card Account Liaison connecting;optical haptic haptic
5;vertical drive non-volatile;Generic Rubber Hat Implementation solid state;redundant;false;Netherlands Antillian Guilder;reintermediate;true;Bedfordshire;Spain;open system Sports;Configurable yellow structure;Coordinator distributed disintermediate;calculate
6;dot-com;Bedfordshire interface Applications;deposit;false;Directives;Montana Buckinghamshire Realigned;false;Saint Helena Pound Plastic;knowledge user Forward;THX Integration program;Credit Card Account;Chips Michigan;Soft
7;JBOD Movies bus;deposit panel Agent;Myanmar Liberian Dollar;false;quantify;Senior wireless magenta;false;executive Enterprise-wide Home Loan Account;Estate Refined;Euro success Home Loan Account;Rustic Rubber Bike;invoice strategize invoice;Cambridgeshire Frozen firewall
8;harness analyzing;Technician Grass-roots optical;iterate synthesize initiative;true;Salad array Rustic;San Marino;false;Investment Account;Incredible Wooden Chair Somoni;Georgia grow;Metal;Handmade Granite Bike 24/365;virtual copy
9;Incredible Rubber Car orchid overriding;SMS seamless;Auto Loan Account;true;Cheese Handcrafted Wooden Chicken;hacking;true;ADP;Granite;Synergized;Colorado Refined Steel Shirt Cape;turquoise Producer;Bypass tangible COM
10;sexy Configuration Forward;Camp Panama lavender;Unbranded open-source Handmade;true;out-of-the-box Licensed Pataca;benchmark Bedfordshire;false;Gloves Directives Wyoming;Licensed Fresh Computer;complexity;Directives Trail;Supervisor;Intelligent Monitored Money Market Account
